Boro_Block_Lot,Baseline?,Condo_Section,Address,Neighborhood,Building_Classification,Total_Units,Year_Built,Gross_SqFt,Estimated_Gross_Income,Gross_Income_per_SqFt,Estimated_Expense,Expense_per_SqFt,Net_Operating_Income,Full_Market_Value,Market_Value_per_SqFt,Distance_From_Condo,BBL,BBLID,X,Y,Inspection_Type1,Inspection_ID1,Inspection_Date1,Result1,Inspection_Type2,Inspection_ID2,Inspection_Date2,Result2,Inspection_Type3,Inspection_ID3,Inspection_Date3,Result3,Inspection_Type4,Inspection_ID4,Inspection_Date4,Result4
1-00284-0026,NA,NA,169 EAST BROADWAY,LOWER EAST SIDE,C7-WALK-UP,15,1920,9925,"$350,055 ",$35 ,"$122,574 ",$12 ,"$227,481 ","$1,682,000 ",$169 ,0,1-00284-0026,1002840026,987090,199350.2,INITIAL_INSP,PO467500,5/14/12,Passed Inspection,INITIAL_INSP,PO264511,4/6/11,Passed Inspection,INITIAL_INSP,PO81623,3/26/10,Passed Inspection,NA,NA,NA,NA
1-00284-7501,No,0163-R1,155 HENRY STREET,LOWER EAST SIDE,R4-CONDOMINIUM,24,1907,21645,"$570,346 ",$26 ,"$241,342 ",$11 ,"$329,004 ","$2,379,998 ",$110 ,NA,1-00284-7501,1002847501,987142.8,199272.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00284-7502,No,0279-R1,165 HENRY STREET,LOWER EAST SIDE,R4-CONDOMINIUM,30,1928,21223,"$547,978 ",$26 ,"$227,086 ",$11 ,"$320,892 ","$2,324,996 ",$110 ,NA,1-00284-7502,1002847502,987216.9,199290.2,INITIAL_INSP,PO467505,5/15/12,Passed Inspection,INITIAL_INSP,PO264506,4/6/11,Passed Inspection,INITIAL_INSP,PO81637,3/26/10,Passed Inspection,NA,NA,NA,NA
1-00284-7503,No,1575-R1,173 EAST BROADWAY,LOWER EAST SIDE,R4-CONDOMINIUM,29,1912,43723,"$1,253,976 ",$29 ,"$546,538 ",$13 ,"$707,438 ","$5,313,001 ",$122 ,NA,1-00284-7503,1002847503,987158,199348.1,INITIAL_INSP,PO467498,5/14/12,Passed Inspection,INITIAL_INSP,PO264513,4/6/11,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00285-0016,NA,NA,219 EAST BROADWAY,LOWER EAST SIDE,C7-WALK-UP,15,1910,10129,"$303,901 ",$30 ,"$122,936 ",$12 ,"$180,965 ","$1,356,000 ",$134 ,0.08,1-00285-0016,1002850016,987773.9,199430.7,COMPLIANCE_INSP,PO514725,8/9/12,Passed Inspection,INITIAL_INSP,PO467490,5/14/12,Passed Inspection,INITIAL_INSP,PO264530,4/6/11,Passed Inspection,INITIAL_INSP,PO81648,3/26/10,Passed Inspection
1-00292-0021,NA,NA,21 ELDRIDGE STREET,CHINATOWN,C7-WALK-UP,22,1900,9475,"$240,471 ",$25 ,"$102,834 ",$11 ,"$137,637 ","$998,000 ",$105 ,0,1-00292-0021,1002920021,985962.3,199814.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00292-0022,NA,NA,19 ELDRIDGE STREET,CHINATOWN,C7-WALK-UP,26,1900,9475,"$275,791 ",$29 ,"$99,824 ",$11 ,"$175,967 ","$1,320,000 ",$139 ,0,1-00292-0022,1002920022,985948.4,199792.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00292-7501,No,0734-R1,1 ELDRIDGE STREET,CHINATOWN,R4-CONDOMINIUM,8,1988,4227,"$115,186 ",$27 ,"$45,229 ",$11 ,"$69,957 ","$505,001 ",$119 ,NA,1-00292-7501,1002927501,985904.9,199568.1,COMPLIANCE_INSP,PO53046,3/31/10,Passed Inspection,INITIAL_INSP,PO453284,4/24/12,Passed Inspection,INITIAL_INSP,PO262893,4/18/11,Passed Inspection,INITIAL_INSP,PO53046,1/26/10,Active Rat Signs
1-00293-7501,No,1877-R1,18 ELDRIDGE STREET,CHINATOWN,R4-CONDOMINIUM,10,2007,7169,"$275,003 ",$38 ,"$91,907 ",$13 ,"$183,096 ","$1,386,004 ",$193 ,NA,1-00293-7501,1002937501,986077.2,199710.9,INITIAL_INSP,PO453268,4/24/12,Passed Inspection,INITIAL_INSP,PO265942,4/14/11,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00294-0024,NA,NA,46 CANAL STREET,LOWER EAST SIDE,C7-WALK-UP,10,1910,5933,"$171,055 ",$29 ,"$44,222 ",$7 ,"$126,833 ","$1,725,000 ",$291 ,0.05,1-00294-0024,1002940024,986572.7,199630.2,INITIAL_INSP,PO458364,5/24/12,Passed Inspection,INITIAL_INSP,PO265879,4/13/11,Passed Inspection,INITIAL_INSP,PO63985,2/22/10,Passed Inspection,NA,NA,NA,NA
1-00297-0016,NA,NA,44 HESTER STREET,LOWER EAST SIDE,C7-WALK-UP,17,1900,7786,"$203,944 ",$26 ,"$82,259 ",$11 ,"$121,685 ","$881,000 ",$113 ,0,1-00297-0016,1002970016,986962,199953,INITIAL_INSP,PO458511,4/26/12,Passed Inspection,INITIAL_INSP,PO266069,4/15/11,Passed Inspection,INITIAL_INSP,PO67241,3/2/10,Passed Inspection,NA,NA,NA,NA
1-00297-0018,NA,NA,23 ESSEX STREET,LOWER EAST SIDE,C7-WALK-UP,10,1900,6175,"$133,874 ",$22 ,"$41,147 ",$7 ,"$92,727 ","$1,356,000 ",$220 ,0,1-00297-0018,1002970018,987003.4,199937.7,INITIAL_INSP,PO458509,4/26/12,Passed Inspection,INITIAL_INSP,PO266071,4/15/11,Passed Inspection,INITIAL_INSP,PO67243,3/2/10,Passed Inspection,NA,NA,NA,NA
1-00297-7501,No,0367-R1,26 LUDLOW STREET,LOWER EAST SIDE,R4-CONDOMINIUM,10,1900,6791,"$147,229 ",$22 ,"$54,328 ",$8 ,"$92,901 ","$673,204 ",$99 ,NA,1-00297-7501,1002977501,986897.1,199922.7,INITIAL_INSP,PO458494,4/26/12,Passed Inspection,INITIAL_INSP,PO266086,4/15/11,Passed Inspection,INITIAL_INSP,PO67238,3/2/10,Passed Inspection,NA,NA,NA,NA
1-00297-7502,No,0709-R1,48 HESTER STREET,LOWER EAST SIDE,R4-CONDOMINIUM,35,1990,23604,"$724,879 ",$31 ,"$266,725 ",$11 ,"$458,154 ","$3,423,996 ",$145 ,NA,1-00297-7502,1002977502,986916.1,199963.4,INITIAL_INSP,PO458493,4/26/12,Passed Inspection,INITIAL_INSP,PO266067,4/15/11,Passed Inspection,INITIAL_INSP,PO67239,3/2/10,Passed Inspection,NA,NA,NA,NA
1-00297-7503,No,1312-R1,7 ESSEX STREET,LOWER EAST SIDE,R4-CONDOMINIUM,16,2002,31406,"$1,142,550 ",$36 ,"$402,625 ",$13 ,"$739,925 ","$5,454,002 ",$174 ,NA,1-00297-7503,1002977503,986920.6,199761.5,INITIAL_INSP,PO458504,4/26/12,Passed Inspection,INITIAL_INSP,PO266076,4/15/11,Passed Inspection,INITIAL_INSP,PO67249,3/2/10,Passed Inspection,NA,NA,NA,NA
1-00298-0025,NA,NA,17 LUDLOW STREET,LOWER EAST SIDE,C7-WALK-UP,19,1910,8980,"$146,626 ",$16 ,"$68,713 ",$8 ,"$77,913 ","$528,000 ",$59 ,0.04,1-00298-0025,1002980025,986718.9,199885,COMPLIANCE_INSP,PO64015,3/26/10,Passed Inspection,INITIAL_INSP,PO458377,5/30/12,Passed Inspection,INITIAL_INSP,PO266064,4/15/11,Passed Inspection,INITIAL_INSP,PO64015,2/22/10,Problem Conditions
1-00298-7501,No,0583-R1,51 CANAL STREET,LOWER EAST SIDE,R4-CONDOMINIUM,41,1941,25795,"$750,892 ",$29 ,"$279,618 ",$11 ,"$471,274 ","$3,536,997 ",$137 ,NA,1-00298-7501,1002987501,986601.8,199788.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00298-7502,No,1082-R1,18 ORCHARD STREET,LOWER EAST SIDE,R4-CONDOMINIUM,4,1920,7535,"$217,234 ",$29 ,"$56,136 ",$7 ,"$161,098 ","$1,144,001 ",$152 ,NA,1-00298-7502,1002987502,986615.3,199847.4,INITIAL_INSP,PO458392,5/30/12,Passed Inspection,INITIAL_INSP,PO266054,4/15/11,Passed Inspection,INITIAL_INSP,PO63998,2/22/10,Passed Inspection,NA,NA,NA,NA
1-00298-7503,No,2020-R1,21 LUDLOW STREET,LOWER EAST SIDE,R4-CONDOMINIUM,23,1910,17899,"$499,919 ",$28 ,"$192,951 ",$11 ,"$306,968 ","$2,009,999 ",$112 ,NA,1-00298-7503,1002987503,986728.7,199915.9,INITIAL_INSP,PO458378,5/30/12,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00299-0026,NA,NA,27 ORCHARD STREET,LOWER EAST SIDE,C7-WALK-UP,18,1930,7910,"$212,783 ",$27 ,"$62,886 ",$8 ,"$149,897 ","$1,083,000 ",$137 ,0.03,1-00299-0026,1002990026,986508.9,199968.6,INITIAL_INSP,PO458322,5/3/12,Passed Inspection,INITIAL_INSP,PO266030,4/15/11,Passed Inspection,INITIAL_INSP,PO64026,2/22/10,Passed Inspection,NA,NA,NA,NA
1-00299-0030,NA,NA,19 ORCHARD STREET,LOWER EAST SIDE,C1-WALK-UP,10,1900,7784,"$166,033 ",$21 ,NA,NA,"$166,033 ","$1,868,000 ",$240 ,0.03,1-00299-0030,1002990030,986486.1,199902.2,INITIAL_INSP,PO458331,5/3/12,Passed Inspection,INITIAL_INSP,PO266033,4/15/11,Passed Inspection,INITIAL_INSP,PO64029,2/22/10,Passed Inspection,NA,NA,NA,NA
1-00303-7501,No,1483-R1,87 BOWERY,CHINATOWN,R4-CONDOMINIUM,8,1910,8188,"$226,398 ",$28 ,"$84,255 ",$10 ,"$142,143 ","$1,026,001 ",$125 ,NA,1-00303-7501,1003037501,985597.6,200442.4,INITIAL_INSP,PO453314,5/10/12,Passed Inspection,INITIAL_INSP,PO262862,4/15/11,Passed Inspection,INITIAL_INSP,PO53146,1/22/10,Passed Inspection,NA,NA,NA,NA
1-00309-7501,No,1425-R1,48 ORCHARD STREET,LOWER EAST SIDE,R4-CONDOMINIUM,25,2003,39027,"$1,303,502 ",$33 ,"$491,350 ",$13 ,"$812,152 ","$6,041,000 ",$155 ,NA,1-00309-7501,1003097501,986802.6,200287.6,INITIAL_INSP,PO458394,5/30/12,Passed Inspection,INITIAL_INSP,PO266611,4/18/11,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00310-7503,No,2116-R1,55 HESTER STREET,LOWER EAST SIDE,R4-CONDOMINIUM,27,1940,23344,"$959,205 ",$41 ,"$299,270 ",$13 ,"$659,935 ","$4,984,001 ",$214 ,NA,1-00310-7503,1003107503,986999.8,200089.2,INITIAL_INSP,PO458472,4/26/12,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00343-7501,No,1954-R1,78 RIDGE STREET,LOWER EAST SIDE,R4-CONDOMINIUM,53,1930,56354,"$2,294,171 ",$41 ,"$521,275 ",$9 ,"$1,772,896 ","$13,391,995 ",$238 ,NA,1-00343-7501,1003437501,988792.6,200716.9,INITIAL_INSP,PO455692,5/15/12,Passed Inspection,INITIAL_INSP,PO271333,4/28/11,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00345-7501,No,1569-R1,154 ATTORNEY STREET,LOWER EAST SIDE,R4-CONDOMINIUM,41,2004,39643,"$1,528,634 ",$39 ,"$461,841 ",$12 ,"$1,066,793 ","$7,689,010 ",$194 ,NA,1-00345-7501,1003457501,988937.5,201724.6,INITIAL_INSP,PO455575,5/11/12,Passed Inspection,INITIAL_INSP,PO271317,4/27/11,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00345-7502,No,2145-R1,196 STANTON STREET,LOWER EAST SIDE,R4-CONDOMINIUM,6,1950,44742,"$1,588,341 ",$36 ,"$412,969 ",$9 ,"$1,175,372 ","$17,869,000 ",$399 ,NA,1-00345-7502,1003457502,988962.9,201602,INITIAL_INSP,PO455581,5/11/12,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00346-0001,NA,NA,50 NORFOLK STREET,LOWER EAST SIDE,D1-ELEVATOR,156,1982,137909,"$2,477,079 ",$18 ,"$978,782 ",$7 ,"$1,498,297 ","$7,245,000 ",$53 ,0.52,1-00346-0001,1003460001,987670.8,200422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00349-0018,NA,NA,163 STANTON STREET,LOWER EAST SIDE,C4-WALK-UP,16,1900,9415,"$403,602 ",$43 ,"$106,241 ",$11 ,"$297,361 ","$2,243,000 ",$238 ,0.27,1-00349-0018,1003490018,988467.4,201631.2,INITIAL_INSP,PO459040,5/8/12,Passed Inspection,INITIAL_INSP,PO271164,4/29/11,Passed Inspection,INITIAL_INSP,PO24651,11/6/09,Passed Inspection,NA,NA,NA,NA
1-00349-7501,No,1107-R1,130 SUFFOLK STREET,LOWER EAST SIDE,R2-CONDOMINIUM,48,1930,61673,"$2,344,807 ",$38 ,"$824,568 ",$13 ,"$1,520,239 ","$11,507,016 ",$187 ,NA,1-00349-7501,1003497501,988346,201556.2,COMPLIANCE_INSP,PO71095,4/22/10,Passed Inspection,INITIAL_INSP,PO459025,5/3/12,Passed Inspection,INITIAL_INSP,PO271159,4/29/11,Passed Inspection,INITIAL_INSP,PO71095,3/10/10,Active Rat Signs
1-00350-0001,NA,NA,166 SUFFOLK STREET,LOWER EAST SIDE,C1-WALK-UP,19,1910,7425,"$219,212 ",$30 ,"$84,845 ",$11 ,"$134,367 ","$1,007,000 ",$136 ,0.84,1-00350-0001,1003500001,988401.8,201850,INITIAL_INSP,PO459005,5/3/12,Passed Inspection,INITIAL_INSP,PO271153,4/29/11,Passed Inspection,INITIAL_INSP,PO71104,3/10/10,Passed Inspection,NA,NA,NA,NA
1-00350-0016,NA,NA,279 EAST HOUSTON STREET,LOWER EAST SIDE,C7-WALK-UP,20,1920,9432,"$306,497 ",$33 ,"$79,395 ",$8 ,"$227,102 ","$1,690,000 ",$179 ,0.09,1-00350-0016,1003500016,988556.5,202067.9,INITIAL_INSP,PO459023,5/3/12,Passed Inspection,INITIAL_INSP,PO310341,7/14/11,Passed Inspection,INITIAL_INSP,PO271135,4/28/11,Passed Inspection,INITIAL_INSP,PO71113,3/10/10,Passed Inspection
1-00350-0020,NA,NA,293 EAST HOUSTON STREET,LOWER EAST SIDE,C4-WALK-UP,19,1920,11620,"$388,991 ",$33 ,"$141,545 ",$12 ,"$247,446 ","$1,838,000 ",$158 ,0.09,1-00350-0020,1003500020,988656.7,202039.9,INITIAL_INSP,PO459020,5/3/12,Passed Inspection,INITIAL_INSP,PO271138,4/28/11,Passed Inspection,INITIAL_INSP,PO71116,3/10/10,Passed Inspection,NA,NA,NA,NA
1-00350-0035,NA,NA,158 STANTON STREET,LOWER EAST SIDE,C4-WALK-UP,16,1920,8063,"$307,912 ",$38 ,"$107,473 ",$13 ,"$200,439 ","$1,485,000 ",$184 ,0.28,1-00350-0035,1003500035,988425.6,201810.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00350-0067,NA,NA,161 ATTORNEY STREET,LOWER EAST SIDE,C1-WALK-UP,18,1910,6750,"$357,036 ",$53 ,"$89,161 ",$13 ,"$267,875 ","$2,003,000 ",$297 ,0.86,1-00350-0067,1003500067,988801,201861.5,INITIAL_INSP,PO455557,5/10/12,Passed Inspection,INITIAL_INSP,PO271284,4/27/11,Active Rat Signs,INITIAL_INSP,PO71136,3/10/10,Passed Inspection,NA,NA,NA,NA
1-00350-7501,No,1096-R1,20 CLINTON STREET,LOWER EAST SIDE,R4-CONDOMINIUM,38,1930,32476,"$1,175,956 ",$36 ,"$492,661 ",$15 ,"$683,295 ","$5,039,003 ",$155 ,NA,1-00350-7501,1003507501,988692.2,201800.3,INITIAL_INSP,PO455544,5/11/12,Passed Inspection,INITIAL_INSP,PO268297,6/14/11,Passed Inspection,INITIAL_INSP,PO71149,3/10/10,Passed Inspection,NA,NA,NA,NA
1-00353-7501,No,1647-R1,103 NORFOLK STREET,LOWER EAST SIDE,R4-CONDOMINIUM,31,2005,47873,"$1,609,012 ",$34 ,"$440,432 ",$9 ,"$1,168,580 ","$8,636,002 ",$180 ,NA,1-00353-7501,1003537501,987734.9,201183.9,INITIAL_INSP,PO458943,5/5/12,Passed Inspection,INITIAL_INSP,PO269667,4/25/11,Passed Inspection,INITIAL_INSP,PO270792,4/21/11,Passed Inspection,NA,NA,NA,NA
1-00354-7501,No,1351-R1,133 NORFOLK STREET,LOWER EAST SIDE,R2-CONDOMINIUM,2,1900,2787,"$105,627 ",$38 ,"$43,644 ",$16 ,"$61,983 ","$427,000 ",$153 ,NA,1-00354-7501,1003547501,987886.1,201574.9,INITIAL_INSP,PO458925,5/5/12,Passed Inspection,INITIAL_INSP,PO270773,4/21/11,Passed Inspection,INITIAL_INSP,PO69380,3/5/10,Passed Inspection,NA,NA,NA,NA
1-00375-7501,No,1213-R1,71 AVENUE D,ALPHABET CITY,R4-CONDOMINIUM,25,2001,27798,"$792,799 ",$29 ,"$309,114 ",$11 ,"$483,685 ","$3,212,028 ",$116 ,NA,1-00375-7501,1003757501,990547.8,202482.9,INITIAL_INSP,PO453614,4/26/12,Passed Inspection,INITIAL_INSP,PO253984,4/1/11,Passed Inspection,INITIAL_INSP,PO81276,4/2/10,Passed Inspection,NA,NA,NA,NA
1-00384-7503,No,1720-R1,310 EAST HOUSTON STREET,ALPHABET CITY,R4-CONDOMINIUM,23,2005,34734,"$1,202,838 ",$35 ,"$414,029 ",$12 ,"$788,809 ","$5,840,002 ",$168 ,NA,1-00384-7503,1003847503,988947.8,202131.5,INITIAL_INSP,PO455517,5/10/12,Passed Inspection,INITIAL_INSP,PO254939,5/13/11,Passed Inspection,INITIAL_INSP,PO85476,4/16/10,Passed Inspection,NA,NA,NA,NA
1-00384-7505,No,2176-R1,229 EAST 2 STREET,ALPHABET CITY,R4-CONDOMINIUM,5,2008,7405,"$263,988 ",$36 ,"$60,647 ",$8 ,"$203,341 ","$1,501,999 ",$203 ,NA,1-00384-7505,1003847505,989095.9,202104.9,INITIAL_INSP,PO455522,5/10/12,Active Rat Signs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00385-0022,NA,NA,234 EAST 3 STREET,ALPHABET CITY,D1-ELEVATOR,19,2001,13517,"$663,173 ",$49 ,"$214,836 ",$16 ,"$448,337 ","$3,362,000 ",$249 ,0.11,1-00385-0022,1003850022,989253.4,202303.8,INITIAL_INSP,PO455505,5/10/12,Passed Inspection,INITIAL_INSP,PO254911,4/8/11,Passed Inspection,INITIAL_INSP,PO85461,4/7/10,Passed Inspection,NA,NA,NA,NA
1-00385-0050,NA,NA,240 EAST 2 STREET,ALPHABET CITY,C4-WALK-UP,24,1910,11322,"$315,525 ",$28 ,"$111,420 ",$10 ,"$204,105 ","$1,470,000 ",$130 ,0.05,1-00385-0050,1003850050,989278.2,202178.5,INITIAL_INSP,PO455488,5/9/12,Passed Inspection,INITIAL_INSP,PO254891,4/8/11,Passed Inspection,INITIAL_INSP,PO122600,6/15/10,Passed Inspection,INITIAL_INSP,PO85442,4/7/10,Passed Inspection
1-00385-0054,NA,NA,232 EAST 2 STREET,ALPHABET CITY,C4-WALK-UP,24,1910,9049,"$345,581 ",$38 ,"$116,889 ",$13 ,"$228,692 ","$1,731,000 ",$191 ,0.05,1-00385-0054,1003850054,989197.5,202235.6,INITIAL_INSP,PO254887,4/8/11,Passed Inspection,INITIAL_INSP,PO85446,4/7/10,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00385-7501,No,1618-R1,254 EAST 2 STREET,ALPHABET CITY,R4-CONDOMINIUM,47,2005,36472,"$1,454,868 ",$40 ,"$319,859 ",$9 ,"$1,135,009 ","$8,579,000 ",$235 ,NA,1-00385-7501,1003857501,989430.2,202106,INITIAL_INSP,PO455492,5/9/12,Passed Inspection,INITIAL_INSP,PO254896,4/8/11,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00386-0010,NA,NA,53 AVENUE B,ALPHABET CITY,C7-WALK-UP,18,1900,11485,"$425,034 ",$37 ,"$124,333 ",$11 ,"$300,701 ","$2,213,000 ",$193 ,0,1-00386-0010,1003860010,989138.8,202715.6,INITIAL_INSP,PO455450,5/9/12,Passed Inspection,INITIAL_INSP,PO254841,4/8/11,Passed Inspection,INITIAL_INSP,PO85404,4/7/10,Passed Inspection,NA,NA,NA,NA
1-00386-7501,No,0548-R1,211 EAST 3 STREET,ALPHABET CITY,R2-CONDOMINIUM,13,1920,18990,"$518,047 ",$27 ,"$206,991 ",$11 ,"$311,056 ","$2,244,001 ",$118 ,NA,1-00386-7501,1003867501,989136.6,202562.2,INITIAL_INSP,PO455456,5/9/12,Passed Inspection,INITIAL_INSP,PO254847,4/8/11,Passed Inspection,INITIAL_INSP,PO85410,4/7/10,Passed Inspection,NA,NA,NA,NA
1-00389-7501,No,0545-R1,97 AVENUE B,ALPHABET CITY,R9-CONDOMINIUM,30,1901,20940,"$587,576 ",$28 ,"$264,682 ",$13 ,"$322,894 ","$2,324,000 ",$111 ,NA,1-00389-7501,1003897501,989463.6,203275.5,INITIAL_INSP,PO455377,5/7/12,Passed Inspection,INITIAL_INSP,PO254768,4/6/11,Passed Inspection,INITIAL_INSP,PO81155,4/1/10,Passed Inspection,NA,NA,NA,NA
1-00390-0020,NA,NA,324 EAST 8 STREET,ALPHABET CITY,C4-WALK-UP,20,1910,6055,"$178,138 ",$29 ,"$70,541 ",$12 ,"$107,597 ","$807,000 ",$133 ,0.05,1-00390-0020,1003900020,989928.7,203402.6,INITIAL_INSP,PO455373,5/8/12,Passed Inspection,INITIAL_INSP,PO455338,5/4/12,Passed Inspection,INITIAL_INSP,PO254760,4/4/11,Passed Inspection,INITIAL_INSP,PO80748,3/29/10,Passed Inspection
1-00390-7501,No,1183-R1,217 EAST 7 STREET,ALPHABET CITY,R4-CONDOMINIUM,16,2000,15704,"$541,631 ",$34 ,"$210,120 ",$13 ,"$331,511 ","$2,455,000 ",$156 ,NA,1-00390-7501,1003907501,989945.1,203269.9,INITIAL_INSP,PO455362,5/7/12,Passed Inspection,INITIAL_INSP,PO455327,5/4/12,Passed Inspection,INITIAL_INSP,PO254749,4/4/11,Passed Inspection,INITIAL_INSP,PO80738,3/29/10,Passed Inspection
1-00390-7502,No,1125-R1,338 EAST 8 STREET,ALPHABET CITY,R9-CONDOMINIUM,78,2001,65832,"$2,518,732 ",$38 ,"$789,984 ",$12 ,"$1,728,748 ","$13,083,000 ",$199 ,NA,1-00390-7502,1003907502,990068.6,203247,INITIAL_INSP,PO455365,5/8/12,Passed Inspection,INITIAL_INSP,PO455330,5/4/12,Passed Inspection,INITIAL_INSP,PO254752,4/4/11,Passed Inspection,INITIAL_INSP,PO80741,3/29/10,Passed Inspection
1-00391-0059,NA,NA,299 EAST 8 STREET,ALPHABET CITY,C1-WALK-UP,30,1900,18732,"$515,168 ",$28 ,"$195,039 ",$10 ,"$320,129 ","$2,211,000 ",$118 ,0.09,1-00391-0059,1003910059,989752.5,203670.9,INITIAL_INSP,PO455280,5/4/12,Passed Inspection,INITIAL_INSP,PO254700,4/4/11,Passed Inspection,INITIAL_INSP,PO80919,3/29/10,Passed Inspection,NA,NA,NA,NA
1-00392-0037,NA,NA,145 AVENUE C,ALPHABET CITY,C7-WALK-UP,30,1900,18836,"$615,751 ",$33 ,"$199,831 ",$11 ,"$415,920 ","$3,094,000 ",$164 ,0.05,1-00392-0037,1003920037,990308.6,203601.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00392-7501,No,0341-R1,143 AVENUE B,ALPHABET CITY,R4-CONDOMINIUM,83,1928,78982,"$2,138,833 ",$27 ,"$853,006 ",$11 ,"$1,285,827 ","$9,281,001 ",$118 ,NA,1-00392-7501,1003927501,989797.1,203897.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00392-7502,No,1859-R1,631 EAST 9 STREET,ALPHABET CITY,R4-CONDOMINIUM,12,2005,11603,"$469,341 ",$40 ,"$149,679 ",$13 ,"$319,662 ","$2,415,000 ",$208 ,NA,1-00392-7502,1003927502,990124.9,203729.6,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00393-0011,NA,NA,608 EAST 11 STREET,ALPHABET CITY,D1-ELEVATOR,12,2003,10276,"$318,042 ",$31 ,"$75,631 ",$7 ,"$242,411 ","$1,811,000 ",$176 ,0.64,1-00393-0011,1003930011,990067,204156.8,INITIAL_INSP,PO455261,5/2/12,Passed Inspection,INITIAL_INSP,PO254656,3/30/11,Passed Inspection,INITIAL_INSP,PO85306,4/19/10,Passed Inspection,NA,NA,NA,NA
1-00393-0019,NA,NA,624 EAST 11 STREET,ALPHABET CITY,D9-ELEVATOR,25,1900,10782,"$354,543 ",$33 ,"$100,682 ",$9 ,"$253,861 ","$1,888,000 ",$175 ,0.05,1-00393-0019,1003930019,990197.9,204084.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00393-7501,No,1138-R1,642 EAST 11 STREET,ALPHABET CITY,R2-CONDOMINIUM,35,1999,36046,"$1,178,344 ",$33 ,"$429,668 ",$12 ,"$748,676 ","$5,568,999 ",$155 ,NA,1-00393-7501,1003937501,990414.1,203929.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00394-7502,No,1113-R1,613 EAST 11 STREET,ALPHABET CITY,R2-CONDOMINIUM,12,2001,15957,"$507,433 ",$32 ,"$178,718 ",$11 ,"$328,715 ","$2,451,000 ",$154 ,NA,1-00394-7502,1003947502,990216.4,204258.7,INITIAL_INSP,PO455204,5/2/12,Passed Inspection,INITIAL_INSP,PO254592,3/29/11,Passed Inspection,INITIAL_INSP,PO85219,4/5/10,Passed Inspection,NA,NA,NA,NA
1-00394-7503,No,1124-R1,625 EAST 11 STREET,ALPHABET CITY,R2-CONDOMINIUM,12,2001,11495,"$365,541 ",$32 ,"$128,744 ",$11 ,"$236,797 ","$1,765,999 ",$154 ,NA,1-00394-7503,1003947503,990332.8,204187.7,INITIAL_INSP,PO455208,5/2/12,Passed Inspection,INITIAL_INSP,PO254596,3/29/11,Passed Inspection,INITIAL_INSP,PO85215,4/5/10,Passed Inspection,NA,NA,NA,NA
1-00396-7501,No,2105-R1,215 AVENUE B,ALPHABET CITY,R4-CONDOMINIUM,17,2008,19333,"$782,020 ",$40 ,"$257,129 ",$13 ,"$524,891 ","$3,543,001 ",$183 ,NA,1-00396-7501,1003967501,990289.2,204791.7,INITIAL_INSP,PO455177,5/3/12,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00397-0007,NA,NA,16 AVENUE A,ALPHABET CITY,D7-ELEVATOR,64,1920,48275,"$1,150,560 ",$24 ,"$278,122 ",$6 ,"$872,438 ","$6,353,000 ",$132 ,0,1-00397-0007,1003970007,988229.5,202573.4,INITIAL_INSP,PO456862,5/1/12,Passed Inspection,INITIAL_INSP,PO257256,4/15/11,Passed Inspection,INITIAL_INSP,PO85666,4/2/10,Passed Inspection,NA,NA,NA,NA
